marker_symbol,mgi_accession_id
Lztfl1,MGI:1934860
Zfp748,MGI:1916455
Hmgxb3,MGI:2441817
Pex12,MGI:2144177
Chgb,MGI:88395
Mtrex,MGI:1919448
Olfm1,MGI:1860437
Pprc1,MGI:2385096
Tmprss2,MGI:1354381
Caprin1,MGI:1858234
Tvp23a,MGI:3665441
Anxa11,MGI:108481
Tcn2,MGI:98534
Ifi35,MGI:1917360
Fam81a,MGI:1924136
Klrg1,MGI:1355294
Erap1,MGI:1933403
Acsm4,MGI:2681844
Slco2a1,MGI:1346021
Prrc2b,MGI:1923304
Anxa2,MGI:88246
Trpv1,MGI:1341787
Dgki,MGI:2443430
Wdpcp,MGI:2144467
Msln,MGI:1888992
Wisp1,MGI:1197008
Psg25,MGI:1891357
Rita1,MGI:1922021
Msrb3,MGI:2443538
Grsf1,MGI:106479
Mier3,MGI:2442317
Ccl2,MGI:98259
Cnpy4,MGI:1913705
Antxr2,MGI:1919164
Heatr3,MGI:2444491
Crhr2,MGI:894312
Itih1,MGI:96618
Adora2a,MGI:99402
Zmym4,MGI:1915035
Ugt2b5,MGI:98900
Dbx1,MGI:94867
Ythdc1,MGI:2443713
Mitf,MGI:104554
Tns2,MGI:2387586
Smco4,MGI:3039636
Ly86,MGI:1321404
Larp4b,MGI:106330
Ckm,MGI:88413
Kcnn3,MGI:2153183
Cpne6,MGI:1334445
Klrc3,MGI:1929720
Cryga,MGI:88521
Ccl20,MGI:1329031
Pygb,MGI:97828
Baz2b,MGI:2442782
Mafg,MGI:96911
Ubap2,MGI:1916176
Sytl3,MGI:1933367
Glcci1,MGI:2179717
E2f7,MGI:1289147
Brf1,MGI:1919558
Fibp,MGI:1926233
Pepd,MGI:97542
Cpne9,MGI:2443052
Pkd2l1,MGI:1352448
Cd151,MGI:1096360
Mto1,MGI:1915541
Myo5b,MGI:106598
Fam92b,MGI:3588213
Ngly1,MGI:1913276
Wls,MGI:1915401
Stac2,MGI:2144518
Mir30a,MGI:2676907
0610030E20Rik,MGI:1915614
Dmrtc2,MGI:1918491
Fubp3,MGI:2443699
Aatk,MGI:1197518
Eif2b1,MGI:2384802
Rragb,MGI:3038613
Csf2rb,MGI:1339759
Cdc42bpa,MGI:2441841
Hapln4,MGI:2679531
Coro2a,MGI:1345966
Clip3,MGI:1923936
Bco1,MGI:1926923
Pogk,MGI:1918842
Rps6kb1,MGI:1270849
Slc38a4,MGI:1916604
Cldn7,MGI:1859285
Chst7,MGI:1891767
Bambi,MGI:1915260
Ep300,MGI:1276116
Abracl,MGI:1920362
Abt1,MGI:1353636
Itgb3,MGI:96612
Ceacam1,MGI:1347245
Afm,MGI:2429409
Yeats2,MGI:2447762
Nkx2-6,MGI:97351
Polr2d,MGI:1916491
Crct1,MGI:1921425
Gm26831,MGI:5477325
Kcnk7,MGI:1341841
0610009K14Rik,MGI:1918931
Dennd3,MGI:2146009
Ap3d1,MGI:107734
Ercc4,MGI:1354163
Corin,MGI:1349451
1700029I15Rik,MGI:1916742
Slc25a22,MGI:1915517
Atxn2,MGI:1277223
Trabd2b,MGI:3650152
Gm13128,MGI:3651261
Pcdh1,MGI:104692
AI182371,MGI:2138853
Adamts15,MGI:2449569
Gtf3a,MGI:1913846
Cd200r3,MGI:1921853
Klhl20,MGI:2444855
Cd300a,MGI:2443411
Sh3bp5l,MGI:1933124
Tmem182,MGI:1923725
Arhgap19,MGI:1918335
Tmem54,MGI:1913510
Adap2,MGI:2663075
Ncam2,MGI:97282
Kbtbd2,MGI:2384811
Angpt4,MGI:1336887
Nid1,MGI:97342
Stom,MGI:95403
Hmg20b,MGI:1341190
Batf3,MGI:1925491
Lrrc72,MGI:1920830
Tcte2,MGI:98641
Proc,MGI:97771
Ccdc163,MGI:1915644
Shb,MGI:98294
Klhl15,MGI:1923400
Exoc2,MGI:1913732
Suv39h1,MGI:1099440
Agap3,MGI:2183446
Fkbp9,MGI:1350921
Lmod2,MGI:2135672
Hnmt,MGI:2153181
Bmp8a,MGI:104515
Asb6,MGI:1919573
Lrriq3,MGI:1921685
Tecta,MGI:109575
Oaz1,MGI:109433
Klc1,MGI:107978
Aldh7a1,MGI:108186
Gpn2,MGI:2140368
Rab1a,MGI:97842
Ap1s1,MGI:1098244
Sec14l3,MGI:3617848
0610031O16Rik,MGI:1915619
Cenpx,MGI:894324
Islr2,MGI:2444277
Zfp599,MGI:2679006
Asxl3,MGI:2685175
